,rh1,rh2,ang,energia
620,1.908,0.808,95.5,-74.621386
621,1.908,0.908,95.5,-75.09813299999999
622,1.908,1.008,95.5,-75.42003000000001
623,1.908,1.108,95.5,-75.637778
624,1.908,1.208,95.5,-75.784461
625,1.908,1.308,95.5,-75.882127
626,1.908,1.408,95.5,-75.945689
627,1.908,1.508,95.5,-75.98535799999999
628,1.908,1.608,95.5,-76.00820300000001
629,1.908,1.708,95.5,-76.019178
630,1.908,1.808,95.5,-76.021788
631,1.908,1.908,95.5,-76.018541
632,1.908,2.008,95.5,-76.011237
633,1.908,2.108,95.5,-76.001173
634,1.908,2.208,95.5,-75.989287
635,1.908,2.308,95.5,-75.97625500000001
636,1.908,2.408,95.5,-75.962568
637,1.908,2.508,95.5,-75.94858
638,1.908,2.608,95.5,-75.93454799999999
639,1.908,2.708,95.5,-75.920652
640,2.008,0.808,95.5,-74.613395
641,2.008,0.908,95.5,-75.09040300000001
642,2.008,1.008,95.5,-75.41249
643,2.008,1.108,95.5,-75.630367
644,2.008,1.208,95.5,-75.77713100000001
645,2.008,1.308,95.5,-75.874841
646,2.008,1.408,95.5,-75.938423
647,2.008,1.508,95.5,-75.978095
648,2.008,1.608,95.5,-76.000934
649,2.008,1.708,95.5,-76.01189699999999
650,2.008,1.808,95.5,-76.014495
651,2.008,1.908,95.5,-76.011237
652,2.008,2.008,95.5,-76.003925
653,2.008,2.108,95.5,-75.99386
654,2.008,2.208,95.5,-75.981976
655,2.008,2.308,95.5,-75.968953
656,2.008,2.408,95.5,-75.95528
657,2.008,2.508,95.5,-75.94131
658,2.008,2.608,95.5,-75.927299
659,2.008,2.708,95.5,-75.913425
660,2.108,0.808,95.5,-74.602628
661,2.108,0.908,95.5,-75.079871
662,2.108,1.008,95.5,-75.402134
663,2.108,1.108,95.5,-75.620137
664,2.108,1.208,95.5,-75.766984
665,2.108,1.308,95.5,-75.864746
666,2.108,1.408,95.5,-75.92835600000001
667,2.108,1.508,95.5,-75.968041
668,2.108,1.608,95.5,-75.990882
669,2.108,1.708,95.5,-76.00184300000001
670,2.108,1.808,95.5,-76.004436
671,2.108,1.908,95.5,-76.001173
672,2.108,2.008,95.5,-75.99386
673,2.108,2.108,95.5,-75.983795
674,2.108,2.208,95.5,-75.97191600000001
675,2.108,2.308,95.5,-75.958901
